,attack
0,1
1,0
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,1
109,1
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,1
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,1
423,1
424,0
425,1
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,1
453,0
454,1
455,0
456,0
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,0
502,0
503,0
504,0
505,0
506,1
507,1
508,0
509,1
510,0
511,1
512,0
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,1
529,0
530,0
531,1
532,0
533,0
534,0
535,0
536,1
537,0
538,0
539,1
540,1
541,0
542,0
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,0
554,0
555,1
556,0
557,0
558,1
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,0
576,0
577,1
578,1
579,1
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,0
589,1
590,1
591,0
592,0
593,1
594,0
595,1
596,1
597,1
598,0
599,1
600,0
601,0
602,0
603,1
604,1
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,0
636,0
637,0
638,1
639,1
640,0
641,0
642,0
643,1
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,1
657,1
658,1
659,0
660,1
661,0
662,1
663,0
664,0
665,1
666,0
667,0
668,1
669,0
670,1
671,0
672,0
673,1
674,0
675,0
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,1
695,1
696,0
697,0
698,0
699,0
700,1
701,0
702,0
703,1
704,0
705,1
706,0
707,0
708,0
709,1
710,0
711,1
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,1
720,1
721,0
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,1
750,1
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,0
767,1
768,1
769,0
770,0
771,1
772,1
773,0
774,1
775,0
776,0
777,0
778,0
779,1
780,0
781,0
782,1
783,0
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,1
802,1
803,0
804,1
805,0
806,1
807,1
808,1
809,0
810,0
811,0
812,1
813,0
814,1
815,1
816,1
817,0
818,0
819,0
820,1
821,0
822,0
823,1
824,1
825,0
826,0
827,1
828,0
829,0
830,1
831,0
832,0
833,1
834,1
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,1
843,1
844,0
845,1
846,1
847,1
848,0
849,0
850,1
851,1
852,0
853,0
854,1
855,0
856,1
857,0
858,0
859,1
860,1
861,1
862,0
863,0
864,1
865,0
866,1
867,0
868,1
869,1
870,1
871,1
872,0
873,0
874,1
875,1
876,0
877,1
878,1
879,0
880,0
881,0
882,0
883,1
884,0
885,0
886,0
887,1
888,1
889,0
890,1
891,0
892,0
893,1
894,1
895,0
896,1
897,1
898,0
899,0
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,1
916,1
917,0
918,0
919,1
920,0
921,0
922,0
923,0
924,1
925,0
926,1
927,0
928,0
929,0
930,0
931,1
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,0
942,1
943,0
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,1
954,0
955,1
956,0
957,0
958,1
959,1
960,0
961,0
962,1
963,1
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,0
975,0
976,1
977,1
978,0
979,1
980,1
981,1
982,0
983,0
984,0
985,1
986,1
987,1
988,0
989,1
990,1
991,1
992,1
993,0
994,1
995,0
996,0
997,0
998,0
999,0
1000,1
1001,0
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,1
1013,1
1014,1
1015,0
1016,0
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1
1050,0
1051,0
1052,0
1053,1
1054,1
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,1
1068,0
1069,1
1070,1
1071,0
1072,1
1073,0
1074,1
1075,0
1076,1
1077,1
1078,0
1079,1
1080,0
1081,0
1082,0
1083,1
1084,0
1085,1
1086,0
1087,0
1088,1
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,1
1100,0
1101,1
1102,1
1103,0
1104,0
1105,1
1106,0
1107,1
1108,1
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,1
1117,0
1118,1
1119,0
1120,1
1121,0
1122,1
1123,0
1124,0
1125,0
1126,1
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,1
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,1
1148,0
1149,1
1150,1
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,1
1161,0
1162,0
1163,1
1164,0
1165,1
1166,0
1167,1
1168,0
1169,1
1170,1
1171,1
1172,1
1173,0
1174,0
1175,0
1176,0
1177,0
1178,1
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,1
1189,0
1190,1
1191,0
1192,1
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,0
1201,0
1202,1
1203,1
1204,1
1205,0
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,0
1214,0
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
